IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
Acanthaster_planciNIO_CR_ACH1483.11	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH2_05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
IPDB_ID	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RM-115	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Palau24	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW40	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_FLO2133.04	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_PAG06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_LHI18	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_FFS08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_ROT09	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T3-264	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_M65	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T2-226	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_NII15	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_IND07	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_LAN28	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RAJ2647.09	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MAI02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_M49	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU14	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_OAH02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_P1_10	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HE68	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW36	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T1-183	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_F2803	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
